species,chr,changed_to_anchor
Acaena_ovalifolia,6,2
Acaena_ovalifolia,14,3
Acaena_ovalifolia,18,2
Acaena_ovalifolia,19,2
Acaena_ovalifolia,20,2
Acholoe_squamosa,5,3
Acholoe_squamosa,12,2
Acropora_millepora,2,2
Acropora_millepora,5,2
Amblyjoppa_fuscipennis,4,2
Amblyjoppa_fuscipennis,7,1
Anopheles_coustani,1,3
Arachis_hypogaea,3,2
Arachis_hypogaea,16,3
Arachis_hypogaea,19,1
Arachnomyces_peruvianus,2,2
Arachnomyces_peruvianus,3,2
Arachnomyces_peruvianus,4,2
Branchiostoma_lanceolatum,6,1
Branchiostoma_lanceolatum,9,2
Branchiostoma_lanceolatum,12,2
Ciona_intestinalis,5,3
Ciona_intestinalis,6,2
Conops_quadrifasciatus,2,3
Conops_quadrifasciatus,3,2
Conops_quadrifasciatus,5,2
Culex_quinquefasciatus,3,1
Filago_lutescens,1,2
Filago_lutescens,4,2
Filago_lutescens,5,2
Filago_lutescens,6,2
Filago_lutescens,7,2
Filago_lutescens,9,3
Filago_lutescens,11,4
Filago_lutescens,14,2
Gelis_areator,4,2
Gelis_areator,5,1
Gelis_areator,8,1
Gelis_areator,9,3
dhQueRobu3,6,2
dhQueRobu3,8,2
dhQueRobu3,10,3
Euphorbia_lathyris,10,2
Simplicillium_lamellicola,1,3
Simplicillium_lamellicola,3,3
Simplicillium_lamellicola,4,1
aGeoSer1_curated,1,2
Chrysopilus_asiliformis,4,3
Pogonocherus_hispidulus,5,2
Pogonocherus_hispidulus,8,3
Pogonocherus_hispidulus,9,3
Suillia_variegata,2,2
Suillia_variegata,3,2
Suillia_variegata,4,2
Verbena_officinalis,2,2
Agaricus_bisporus,8,2
Cornus_suecica,5,2
Cornus_suecica,6,3
Cornus_suecica,9,3
Ectobius_pallidus,2,2
Persicaria_maculosa,5,2
Squalius_cephalus,2,2
Squalius_cephalus,5,2
Squalius_cephalus,11,2
Squalius_cephalus,21,1
Lactarius_evosmus,3,2
Lactarius_evosmus,5,2
Lactarius_evosmus,7,1
Lactarius_evosmus,8,3
Russula_olivacea,7,1
Vicia_sativa,3,2
