species,method
Aedes_aegypti,intra_x
Culex_quinquefasciatus,intra_x
daVerThap1_1,intra_x
DCW,intra_x
ddBarVulg1_1,intra_x
dmBerVulg1_1,intra_x
fEchVip8_1,intra_x
HN1,intra_x
YMR,intra_x
iyXipCame1_1,intra_x
laTriMari1_1,intra_x
Pbr,intra_x
Saccharomyces_cerevisiae,intra_x
xbFraSuez1_4,intra_x
Adonis_annua,intra_x
Cylloceria_caligata,intra_x
Hydrocotyle_vulgaris,intra_x
Lepidium_didymum,intra_x
Spergularia_marina,intra_x
Spilarctia_lutea,intra_x
Tiliacea_aurago,intra_x
Triticum_aestivum,intra_x
Verbascum_thapsus,intra_x
Watsonalla_binaria,intra_x
Apoda_limacodes,intra_x
Aporophyla_nigra,intra_x
Chamaenerion_angustifolium,intra_x
Chesias_legatella,intra_x
Craniophora_ligustri,intra_x
Cydalima_perspectalis,intra_x
Habrosyne_pyritoides,intra_x
Rhynchopus_sp_YZ270_cl_10,intra_x
Agaricus_bisporus,intra_x
Cyclophora_punctaria,intra_x
Leucania_comma,intra_x
Lithophane_semibrunnea,intra_x
Lithophane_socia,intra_x
Epione_repandaria,intra_x
Heliothis_peltigera,intra_x
Eupithecia_vulgata,intra_x
Falcaria_lacertinaria,intra_x
Eilema_sororcula,intra_x
Epinotia_nisella,intra_x
Spilosoma_urticae,intra_x
Synanthedon_myopaeformis,intra_x
Tiliacea_citrago,intra_x
Xylocampa_areola,intra_x
Ypsolopha_scabrella,intra_x
Abramis_brama,no_anchor
Abrostola_triplasia,no_anchor
Achlya_flavicornis,no_anchor
Acleris_holmiana,no_anchor
Acleris_emargana,no_anchor
Acleris_laterana,no_anchor
Acleris_literana,no_anchor
Acleris_sparsana,no_anchor
Acrobasis_consociella,no_anchor
Acrobasis_repandana,no_anchor
Acrobasis_suavella,no_anchor
Acronicta_alni,no_anchor
Aethes_cnicana,no_anchor
Agelas_oroides,no_anchor
Agonopterix_alstromeriana,no_anchor
Agonopterix_arenella,no_anchor
Agonopterix_heracliana,no_anchor
Agonopterix_subpropinquella,no_anchor
Agriopis_aurantiaria,no_anchor
Agriopis_leucophaearia,no_anchor
Agriopis_marginaria,no_anchor
Agriphila_straminella,no_anchor
Agrochola_circellaris,intra_x
Agrochola_litura,intra_x
Agrochola_lota,intra_x
Agrochola_lychnidis,intra_x
Agrochola_macilenta,intra_x
Agrotis_clavis,intra_x
Agrotis_exclamationis,no_anchor
Agrotis_puta,no_anchor
Allophyes_oxyacanthae,no_anchor
Alnus_glutinosa,no_anchor
Altica_lythri,no_anchor
Alucita_hexadactyla,intra_x
Amaurobius_ferox,no_anchor
Ametastegia_equiseti,no_anchor
Amorpha_juglandis,no_anchor
Amphimallon_solstitiale,no_anchor
Amphipoea_lucens,no_anchor
Amphipoea_oculea,intra_x
Amphipyra_tragopoginis,intra_x
Anania_hortulata,no_anchor
Anaplectoides_prasina,no_anchor
Anas_acuta,no_anchor
Anas_platyrhynchos,no_anchor
Andrena_marginata,no_anchor
Anopheles_maculipalpis,no_anchor
Anopheles_marshallii,no_anchor
Anopheles_nili,no_anchor
Anser_anser,no_anchor
Anticlea_derivata,intra_x
Antitype_chi,no_anchor
Apamea_anceps,no_anchor
Apamea_crenata,intra_x
Apamea_epomidion,intra_x
Apamea_monoglypha,no_anchor
Apamea_sordens,intra_x
Aphantopus_hyperantus,no_anchor
Aphantopus_hyperantus,no_anchor
Aphrocallistes_beatrix,intra_x
Aphrophora_alni,no_anchor
Apomyelois_bistriatella,no_anchor
Aporrectodea_icterica,no_anchor
Apotomis_betuletana,no_anchor
Apotomis_capreana,no_anchor
Arabidopsis_thalian,no_anchor
Aradus_depressus,no_anchor
Arctium_minus,no_anchor
Argyresthia_albistria,no_anchor
Argyresthia_goedartella,no_anchor
Aricia_agestis_ilAriAges2.1,no_anchor
Armillaria_ostoyae,no_anchor
Arthaldeus_pascuellus,no_anchor
