type	score	file_name
Center	-0.21479078481873481	Haloferax_volcanii
Center-end-axis	-0.016339639533756094	Haloferax_volcanii
Center-whole	-0.10568780513971539	Haloferax_volcanii
End-whole	0.2443636507104673	Haloferax_volcanii
Large-center	-0.20219274774056548	Haloferax_volcanii
Center	0.14212813845191136	Cydalima_perspectalis
Center-end-axis	0.5408509979273682	Cydalima_perspectalis
Center-whole	-0.16666659790727384	Cydalima_perspectalis
End-whole	-0.21087512185206256	Cydalima_perspectalis
Large-center	0.2668154409002389	Cydalima_perspectalis
Center	-0.020079609597977482	Ciona_intestinalis
Center-end-axis	0.1695134068278196	Ciona_intestinalis
Center-whole	-0.25303825289503984	Ciona_intestinalis
End-whole	-0.24141113488471586	Ciona_intestinalis
Large-center	0.24696023822742377	Ciona_intestinalis
Center	0.04024958010617516	Myotis_mystacinus
Center-end-axis	0.10762175420869088	Myotis_mystacinus
Center-whole	-0.17984855103612576	Myotis_mystacinus
End-whole	-0.18916288007088494	Myotis_mystacinus
Large-center	0.20508126744441726	Myotis_mystacinus
Center	0.3862771249092312	Eustalomyia_histrio
Center-end-axis	0.011691809797577243	Eustalomyia_histrio
Center-whole	0.1993121749419334	Eustalomyia_histrio
End-whole	0.0027873607131759124	Eustalomyia_histrio
Large-center	0.05008691010584192	Eustalomyia_histrio
Center	-0.1155084518792052	Orthosia_gothica
Center-end-axis	-0.04304811173224646	Orthosia_gothica
Center-whole	0.17641519435480219	Orthosia_gothica
End-whole	0.3053392102875645	Orthosia_gothica
Large-center	-0.26604258532996394	Orthosia_gothica
Center	-0.2598311773140475	aMicUni1_curated
Center-end-axis	0.22444165988690737	aMicUni1_curated
Center-whole	-0.12839336594027057	aMicUni1_curated
End-whole	0.12485545198170127	aMicUni1_curated
Large-center	-0.04125410813921561	aMicUni1_curated
Center	0.016861381846813107	Oxycera_nigricornis
Center-end-axis	0.24317142278381765	Oxycera_nigricornis
Center-whole	0.5440498083296287	Oxycera_nigricornis
End-whole	0.491364384486506	Oxycera_nigricornis
Large-center	-0.3923391587812185	Oxycera_nigricornis
Center	0.1929049045853507	Tiliacea_aurago
Center-end-axis	0.5877563235334987	Tiliacea_aurago
Center-whole	-0.1661139925848178	Tiliacea_aurago
End-whole	-0.31025544206568684	Tiliacea_aurago
Large-center	0.3396474527272842	Tiliacea_aurago
Center	-0.060205527197132035	Podarcis_bocagei
Center-end-axis	-0.07187312398394048	Podarcis_bocagei
Center-whole	0.09203349770941763	Podarcis_bocagei
End-whole	0.18268788112646686	Podarcis_bocagei
Large-center	-0.1542070607867065	Podarcis_bocagei
Center	0.7567508940590246	Caenorhabditis_uteleia
Center-end-axis	0.0271198872025737	Caenorhabditis_uteleia
Center-whole	0.17318257174287682	Caenorhabditis_uteleia
End-whole	-0.16233267042232208	Caenorhabditis_uteleia
Large-center	0.25615088595603114	Caenorhabditis_uteleia
Center	0.16339995577879746	Camptogramma_bilineatum
Center-end-axis	-0.06965586219489234	Camptogramma_bilineatum
Center-whole	0.38186422336851344	Camptogramma_bilineatum
End-whole	0.30963112172649293	Camptogramma_bilineatum
Large-center	-0.21944930933755	Camptogramma_bilineatum
Center	0.42019688958991913	Eupeodes_luniger
Center-end-axis	-0.05839371170128296	Eupeodes_luniger
Center-whole	0.14089386793758082	Eupeodes_luniger
End-whole	-0.4039584183475211	Eupeodes_luniger
Large-center	0.3861164963122315	Eupeodes_luniger
Center	0.1637645162298135	Deilephila_elpenor
Center-end-axis	0.4350390063433483	Deilephila_elpenor
Center-whole	0.038760890987644084	Deilephila_elpenor
End-whole	-0.12481791384928265	Deilephila_elpenor
Large-center	0.1732443036279256	Deilephila_elpenor
Center	0.025280708964034046	Argyresthia_goedartella
Center-end-axis	-0.061039641483903416	Argyresthia_goedartella
Center-whole	0.1507091366689114	Argyresthia_goedartella
End-whole	0.2907734296659857	Argyresthia_goedartella
Large-center	-0.22149405914972878	Argyresthia_goedartella
Center	0.21342719274952868	Spilosoma_urticae
Center-end-axis	0.6671652392800863	Spilosoma_urticae
Center-whole	-0.0911621036256989	Spilosoma_urticae
End-whole	-0.22932244593654538	Spilosoma_urticae
Large-center	0.3004373275867861	Spilosoma_urticae
Center	-0.312570334870965	Agaricus_bisporus
Center-end-axis	0.783479892306726	Agaricus_bisporus
Center-whole	-0.3964973560780059	Agaricus_bisporus
End-whole	0.04220033451934343	Agaricus_bisporus
Large-center	0.06860069088681861	Agaricus_bisporus
Center	0.17305187870149594	Blastobasis_lacticolella
Center-end-axis	-0.0655158247939447	Blastobasis_lacticolella
Center-whole	0.12030220335433175	Blastobasis_lacticolella
End-whole	0.06681624507848495	Blastobasis_lacticolella
Large-center	-0.0016386697581162219	Blastobasis_lacticolella
Center	-0.2642295456764652	Plecotus_auritus
Center-end-axis	-0.09779034214294735	Plecotus_auritus
Center-whole	0.21756169117849364	Plecotus_auritus
End-whole	0.3357014921121487	Plecotus_auritus
Large-center	-0.3102003759222703	Plecotus_auritus
Center	0.9862223119933194	Euonymus_europaeus
Center-end-axis	0.012821738017169206	Euonymus_europaeus
Center-whole	0.12795127830200403	Euonymus_europaeus
End-whole	-0.3878818077387036	Euonymus_europaeus
Large-center	0.5240866931593976	Euonymus_europaeus
Center	0.057068459058490256	Moehringia_trinervia
Center-end-axis	0.0634292805976597	Moehringia_trinervia
Center-whole	-0.5078875527321985	Moehringia_trinervia
End-whole	-0.605686276586186	Moehringia_trinervia
Large-center	0.6274309803278854	Moehringia_trinervia
Center	0.08732490849293242	Hoplodrina_ambigua
Center-end-axis	0.09481463943751281	Hoplodrina_ambigua
Center-whole	0.3069873350655333	Hoplodrina_ambigua
End-whole	0.2670648154251655	Hoplodrina_ambigua
Large-center	-0.1950795728853754	Hoplodrina_ambigua
Center	-0.21880191569903898	Eisenia_eiseni
Center-end-axis	-0.18001664854296698	Eisenia_eiseni
Center-whole	0.20517491663008697	Eisenia_eiseni
End-whole	0.4179145200654801	Eisenia_eiseni
Large-center	-0.4201758704033119	Eisenia_eiseni
Center	0.15064105508940034	Craniophora_ligustri
Center-end-axis	0.52786096160673	Craniophora_ligustri
Center-whole	-0.1326372204456813	Craniophora_ligustri
End-whole	-0.18661245767962548	Craniophora_ligustri
Large-center	0.26471901596238817	Craniophora_ligustri
Center	0.397545555750869	Sprattus_sprattus
Center-end-axis	-0.08848260077417103	Sprattus_sprattus
Center-whole	-0.162456619034146	Sprattus_sprattus
End-whole	-0.4946294548347326	Sprattus_sprattus
Large-center	0.46250839961066315	Sprattus_sprattus
Center	-0.06744631863222446	Leptophobia_aripa
Center-end-axis	-0.020754060028329642	Leptophobia_aripa
Center-whole	0.21626113066680414	Leptophobia_aripa
End-whole	0.26644509396719235	Leptophobia_aripa
Large-center	-0.22478096329830002	Leptophobia_aripa
Center	0.1870798268268251	Cordilura_impudica
Center-end-axis	0.03890859183321068	Cordilura_impudica
Center-whole	0.209208676671405	Cordilura_impudica
End-whole	0.07831370031896036	Cordilura_impudica
Large-center	-0.0527504914979219	Cordilura_impudica
Center	0.1421989846836524	Miniopterus_schreibersii
Center-end-axis	0.10170729136310497	Miniopterus_schreibersii
Center-whole	-0.1823553589267651	Miniopterus_schreibersii
End-whole	-0.3368940836676975	Miniopterus_schreibersii
Large-center	0.34402895974908515	Miniopterus_schreibersii
Center	-0.13848779711166	Cyclophora_albipunctata
Center-end-axis	-0.08142347312003981	Cyclophora_albipunctata
Center-whole	0.3208469334323043	Cyclophora_albipunctata
End-whole	0.46209241102226195	Cyclophora_albipunctata
Large-center	-0.40518648438681504	Cyclophora_albipunctata
Center	0.14402612541313203	Meliscaeva_auricollis
Center-end-axis	-0.25133037999344093	Meliscaeva_auricollis
Center-whole	0.6365022526496429	Meliscaeva_auricollis
End-whole	0.3235105843570817	Meliscaeva_auricollis
Large-center	-0.31838399802484646	Meliscaeva_auricollis
Center	0.2966017928142601	Delphinus_delphis
Center-end-axis	0.4349710264941188	Delphinus_delphis
Center-whole	-0.2612465472801809	Delphinus_delphis
End-whole	-0.4802430446290006	Delphinus_delphis
Large-center	0.5052442449050722	Delphinus_delphis
Center	0.2013824398667462	Chesias_legatella
Center-end-axis	0.2864978708783225	Chesias_legatella
Center-whole	0.0106044006110749	Chesias_legatella
End-whole	-0.15733428217995205	Chesias_legatella
Large-center	0.21909189009926125	Chesias_legatella
Center	-0.3393974225895066	Anopheles_coluzzii
Center-end-axis	0.14034457458627161	Anopheles_coluzzii
Center-whole	0.2973798037082191	Anopheles_coluzzii
End-whole	0.40251893601132455	Anopheles_coluzzii
Large-center	-0.3612506439688272	Anopheles_coluzzii
Center	0.022285242623497296	Eristalinus_sepulchralis
Center-end-axis	-0.004411937284715635	Eristalinus_sepulchralis
Center-whole	0.35056871945284157	Eristalinus_sepulchralis
End-whole	0.4237835101123401	Eristalinus_sepulchralis
Large-center	-0.33908814116577024	Eristalinus_sepulchralis
Center	-0.052613386116759274	Mysia_undata
Center-end-axis	-0.0005467525079510223	Mysia_undata
Center-whole	0.2761365427528402	Mysia_undata
End-whole	0.16927701032548903	Mysia_undata
Large-center	-0.15929139959577707	Mysia_undata
Center	0.20426166578010005	Habrosyne_pyritoides
Center-end-axis	0.5860928560397827	Habrosyne_pyritoides
Center-whole	-0.21451059952537696	Habrosyne_pyritoides
End-whole	-0.34376703841520123	Habrosyne_pyritoides
Large-center	0.4280564277718286	Habrosyne_pyritoides
Center	0.3889017068765145	dImpGla2_curated
Center-end-axis	0.08052420791074695	dImpGla2_curated
Center-whole	0.08685038667706982	dImpGla2_curated
End-whole	-0.21359520140891083	dImpGla2_curated
Large-center	0.27874509865631775	dImpGla2_curated
Center	0.3134139240570761	Gadus_morhua
Center-end-axis	0.17148408833133819	Gadus_morhua
Center-whole	-0.29594578995454357	Gadus_morhua
End-whole	-0.49617035449897356	Gadus_morhua
Large-center	0.5143846667294117	Gadus_morhua
Center	-0.007994986229108223	Pyrausta_aurata
Center-end-axis	-0.014704378841756181	Pyrausta_aurata
Center-whole	0.16478338054632652	Pyrausta_aurata
End-whole	0.21389956103868968	Pyrausta_aurata
Large-center	-0.18113883253365728	Pyrausta_aurata
Center	0.39874049283969065	fTraTra1
Center-end-axis	0.26375850503348897	fTraTra1
Center-whole	-0.32395290803519816	fTraTra1
End-whole	-0.714123863231853	fTraTra1
Large-center	0.7477218827538589	fTraTra1
Center	0.14652503096645772	Timandra_comae
Center-end-axis	0.06078231181017357	Timandra_comae
Center-whole	0.20234155589343805	Timandra_comae
End-whole	0.1418435879500216	Timandra_comae
Large-center	-0.04783578341042408	Timandra_comae
Center	-0.0145314558384885	Apotomis_capreana
Center-end-axis	0.02478092434414575	Apotomis_capreana
Center-whole	0.13703214095629632	Apotomis_capreana
End-whole	0.18346000149343175	Apotomis_capreana
Large-center	-0.1365637364196947	Apotomis_capreana
Center	0.1671408359659468	Agriopis_leucophaearia
Center-end-axis	0.14702604757646873	Agriopis_leucophaearia
Center-whole	0.09225877670062652	Agriopis_leucophaearia
End-whole	-0.04056069477234779	Agriopis_leucophaearia
Large-center	0.11174911253412141	Agriopis_leucophaearia
Center	-0.25721029786859634	Tachina_grossa
Center-end-axis	0.16411215787320113	Tachina_grossa
Center-whole	0.25373239856676244	Tachina_grossa
End-whole	0.49484943718806734	Tachina_grossa
Large-center	-0.43192821966193173	Tachina_grossa
Center	-0.0725260660216459	Alnus_glutinosa
Center-end-axis	0.6887031263679013	Alnus_glutinosa
Center-whole	-0.10198208921753579	Alnus_glutinosa
End-whole	-0.14822430103116993	Alnus_glutinosa
Large-center	0.26573398161596684	Alnus_glutinosa
Center	0.03702075711938901	Isothecium_myosuroides
Center-end-axis	-0.06319656916085303	Isothecium_myosuroides
Center-whole	-0.19832161233820192	Isothecium_myosuroides
End-whole	-0.11352471384685815	Isothecium_myosuroides
Large-center	0.14616847259849833	Isothecium_myosuroides
Center	0.7488736894348801	Tanacetum_parthenium
Center-end-axis	0.08525351413113032	Tanacetum_parthenium
Center-whole	-0.0968980227701551	Tanacetum_parthenium
End-whole	-0.7074864008017199	Tanacetum_parthenium
Large-center	0.7268465271969071	Tanacetum_parthenium
Center	0.1696233832018395	Dysmachus_trigonus
Center-end-axis	-0.3048583170609742	Dysmachus_trigonus
Center-whole	0.44265250043597815	Dysmachus_trigonus
End-whole	0.4024662710123967	Dysmachus_trigonus
Large-center	-0.3442529749319539	Dysmachus_trigonus
Center	0.01464570384117636	Pipistrellus_pygmaeus
Center-end-axis	0.08544011990636631	Pipistrellus_pygmaeus
Center-whole	-0.2778370019081954	Pipistrellus_pygmaeus
End-whole	-0.3389045438476664	Pipistrellus_pygmaeus
Large-center	0.32543269117571516	Pipistrellus_pygmaeus
Center	0.009208432510551689	Podarcis_siculus
Center-end-axis	-0.056985505194907	Podarcis_siculus
Center-whole	0.18115182976447694	Podarcis_siculus
End-whole	0.21319390480916933	Podarcis_siculus
Large-center	-0.15568978063521396	Podarcis_siculus
Center	0.21718000350870859	Biomphalaria_glabrata
Center-end-axis	0.08730689655758622	Biomphalaria_glabrata
Center-whole	0.13577409685679473	Biomphalaria_glabrata
End-whole	0.038647034976960176	Biomphalaria_glabrata
Large-center	0.043564550000375485	Biomphalaria_glabrata
Center	0.9209242677781407	Caenorhabditis_zanzibari
Center-end-axis	0.007849901738603862	Caenorhabditis_zanzibari
Center-whole	0.3202874366585179	Caenorhabditis_zanzibari
End-whole	-0.17568147806946838	Caenorhabditis_zanzibari
Large-center	0.26708063660154957	Caenorhabditis_zanzibari
Center	0.15698221719298075	Caradrina_kadenii
Center-end-axis	0.27613433736024073	Caradrina_kadenii
Center-whole	0.11379233416243775	Caradrina_kadenii
End-whole	-0.02267217935881851	Caradrina_kadenii
Large-center	0.06490233395449056	Caradrina_kadenii
Center	0.9591963967609209	Tipula_vernalis
Center-end-axis	0.020631819016489677	Tipula_vernalis
Center-whole	0.4404178137220245	Tipula_vernalis
End-whole	-0.42480906498081933	Tipula_vernalis
Large-center	0.5128758622248859	Tipula_vernalis
Center	0.12397927165870877	Blastobasis_adustella
Center-end-axis	0.013599193150230096	Blastobasis_adustella
Center-whole	0.25647657173829935	Blastobasis_adustella
End-whole	0.25633178106719545	Blastobasis_adustella
Large-center	-0.16818618901120796	Blastobasis_adustella
Center	-0.444972306125325	Ripartites_tricholoma
Center-end-axis	0.16632019592854158	Ripartites_tricholoma
Center-whole	0.18704036273894079	Ripartites_tricholoma
End-whole	0.40204165040038187	Ripartites_tricholoma
Large-center	-0.3521910746911799	Ripartites_tricholoma
Center	-0.11562877598454957	Lucinella_divaricata
Center-end-axis	0.05408780231140169	Lucinella_divaricata
Center-whole	0.17215744942703254	Lucinella_divaricata
End-whole	0.1755119978272422	Lucinella_divaricata
Large-center	-0.1547030481338664	Lucinella_divaricata
Center	0.22746171081517355	Luperina_nickerlii
Center-end-axis	0.08822047605868906	Luperina_nickerlii
Center-whole	0.023771260691373832	Luperina_nickerlii
End-whole	-0.1601682310296498	Luperina_nickerlii
Large-center	0.22955073205901613	Luperina_nickerlii
Center	0.5710702184503457	Melieria_picta
Center-end-axis	0.03336443084917651	Melieria_picta
Center-whole	0.37884542564526236	Melieria_picta
End-whole	-0.06600353478540028	Melieria_picta
Large-center	0.09945910009669334	Melieria_picta
Center	0.18318458785993336	Lithophane_semibrunnea
Center-end-axis	0.5564518980458614	Lithophane_semibrunnea
Center-whole	-0.21748008541909392	Lithophane_semibrunnea
End-whole	-0.35600964582655364	Lithophane_semibrunnea
Large-center	0.37829989595822217	Lithophane_semibrunnea
Center	0.3457883304364164	Lyciella_decipiens
Center-end-axis	-0.2682555153679751	Lyciella_decipiens
Center-whole	0.7631858631102757	Lyciella_decipiens
End-whole	0.39752229426575125	Lyciella_decipiens
Large-center	-0.34021951357248725	Lyciella_decipiens
Center	-0.029798880361064897	Cinclus_cinclus
Center-end-axis	0.0484077238225952	Cinclus_cinclus
Center-whole	-0.058603900110885204	Cinclus_cinclus
End-whole	-0.07117545150319601	Cinclus_cinclus
Large-center	0.0810390548164812	Cinclus_cinclus
Center	-0.04726540410239035	Euplexia_lucipara
Center-end-axis	-0.02872690750554573	Euplexia_lucipara
Center-whole	0.3326626302692008	Euplexia_lucipara
End-whole	0.4335327367557923	Euplexia_lucipara
Large-center	-0.3652890908501451	Euplexia_lucipara
Center	-0.5867598470659647	Tenthredo_mesomela
Center-end-axis	0.04087049608471609	Tenthredo_mesomela
Center-whole	0.1644653924564173	Tenthredo_mesomela
End-whole	0.4820820498279805	Tenthredo_mesomela
Large-center	-0.512896212008753	Tenthredo_mesomela
Center	0.27449046569285046	Cheilosia_vernalis
Center-end-axis	-0.1538764723258281	Cheilosia_vernalis
Center-whole	0.6615481524094421	Cheilosia_vernalis
End-whole	0.2777216340534348	Cheilosia_vernalis
Large-center	-0.2558050898450026	Cheilosia_vernalis
Center	0.5105888796865995	Pandemis_corylana
Center-end-axis	0.11655383556594759	Pandemis_corylana
Center-whole	0.19864890543797667	Pandemis_corylana
End-whole	-0.12493275711539008	Pandemis_corylana
Large-center	0.22088663299445754	Pandemis_corylana
Center	-0.14313813929189306	Maratus_michaelseni
Center-end-axis	-0.05084867335895676	Maratus_michaelseni
Center-whole	0.4235912923523492	Maratus_michaelseni
End-whole	0.588526933703143	Maratus_michaelseni
Large-center	-0.5255209541720163	Maratus_michaelseni
Center	0.9122801808652771	Jasione_montana
Center-end-axis	0.12022461943686984	Jasione_montana
Center-whole	0.13405835923655599	Jasione_montana
End-whole	-0.6765037957381582	Jasione_montana
Large-center	0.7271249828455849	Jasione_montana
Center	-0.2028321474146219	Fragaria_vesca
Center-end-axis	0.2401359053179761	Fragaria_vesca
Center-whole	-0.030248495176313586	Fragaria_vesca
End-whole	0.10733374621783687	Fragaria_vesca
Large-center	-0.07384406135590069	Fragaria_vesca
Center	0.7938123377604426	Caenorhabditis_imperialis
Center-end-axis	0.0931494656523608	Caenorhabditis_imperialis
Center-whole	0.02394661421698326	Caenorhabditis_imperialis
End-whole	-0.3789931288133772	Caenorhabditis_imperialis
Large-center	0.4521370266338047	Caenorhabditis_imperialis
Center	0.33469020498411417	Rhinolophus_hipposideros
Center-end-axis	0.181906964557722	Rhinolophus_hipposideros
Center-whole	-0.22690840709457372	Rhinolophus_hipposideros
End-whole	-0.46670414323119397	Rhinolophus_hipposideros
Large-center	0.4825201912596987	Rhinolophus_hipposideros
Center	-0.37893133979100385	Phorcus_lineatus
Center-end-axis	0.25678179700296316	Phorcus_lineatus
Center-whole	-0.0909629893938457	Phorcus_lineatus
End-whole	0.3367284271716015	Phorcus_lineatus
Large-center	-0.33465524242753264	Phorcus_lineatus
Center	0.4222293813696862	Dryomyza_anilis
Center-end-axis	0.1078659316080588	Dryomyza_anilis
Center-whole	0.5048416115693973	Dryomyza_anilis
End-whole	0.2185021040249302	Dryomyza_anilis
Large-center	-0.12057952716723054	Dryomyza_anilis
Center	0.27097250866709705	Amphipoea_oculea
Center-end-axis	0.44782411146563605	Amphipoea_oculea
Center-whole	-0.06223630190483268	Amphipoea_oculea
End-whole	-0.2000119173405087	Amphipoea_oculea
Large-center	0.27894276654457456	Amphipoea_oculea
Center	0.12125468493894065	drMalSylv7
Center-end-axis	0.5019839446667342	drMalSylv7
Center-whole	-0.4196944091257573	drMalSylv7
End-whole	-0.4678499379001242	drMalSylv7
Large-center	0.5618809031493166	drMalSylv7
Center	-0.47561692927162397	Athalia_rosae
Center-end-axis	-0.3003857951615038	Athalia_rosae
Center-whole	0.17044820710998368	Athalia_rosae
End-whole	0.5008597776340201	Athalia_rosae
Large-center	-0.48560763699443904	Athalia_rosae
Center	0.07138662204497945	Eupithecia_abbreviata
Center-end-axis	-0.017974140906324407	Eupithecia_abbreviata
Center-whole	0.31056637978261536	Eupithecia_abbreviata
End-whole	0.2635539596946634	Eupithecia_abbreviata
Large-center	-0.19666669637556872	Eupithecia_abbreviata
Center	0.18160476345259557	Eupithecia_centaureata
Center-end-axis	-0.06181801828524015	Eupithecia_centaureata
Center-whole	0.3580526968308167	Eupithecia_centaureata
End-whole	0.257321796626217	Eupithecia_centaureata
Large-center	-0.168269229548802	Eupithecia_centaureata
Center	0.6257661292132011	Bryotropha_terrella
Center-end-axis	0.05633179832567946	Bryotropha_terrella
Center-whole	0.08730209551372041	Bryotropha_terrella
End-whole	-0.3347921927704101	Bryotropha_terrella
Large-center	0.4098495894198499	Bryotropha_terrella
Center	0.5615588987698852	Cloeon_dipterum
Center-end-axis	0.16244400181601418	Cloeon_dipterum
Center-whole	-0.16580408446533834	Cloeon_dipterum
End-whole	-0.6317896927191943	Cloeon_dipterum
Large-center	0.6303397030415162	Cloeon_dipterum
Center	0.1047271905798048	Vipera_ursinii
Center-end-axis	-0.19135561243203383	Vipera_ursinii
Center-whole	0.4883940397772701	Vipera_ursinii
End-whole	0.3697894468537068	Vipera_ursinii
Large-center	-0.33365735810762165	Vipera_ursinii
Center	0.1462946605685727	Agriopis_marginaria
Center-end-axis	0.07672924789579391	Agriopis_marginaria
Center-whole	0.21211496114864667	Agriopis_marginaria
End-whole	0.18698610626301088	Agriopis_marginaria
Large-center	-0.08032594273225344	Agriopis_marginaria
Center	-0.1029737258896919	Cetorhinus_maximus
Center-end-axis	-0.1113594531405159	Cetorhinus_maximus
Center-whole	0.1421317702991306	Cetorhinus_maximus
End-whole	0.3018083729617972	Cetorhinus_maximus
Large-center	-0.270293532270998	Cetorhinus_maximus
Center	-0.09732718751160814	Larus_fuscus
Center-end-axis	-0.13868198776018906	Larus_fuscus
Center-whole	0.24649663419461182	Larus_fuscus
End-whole	0.312945388600155	Larus_fuscus
Large-center	-0.31492963315128253	Larus_fuscus
Center	0.18735540152617425	Aphrocallistes_beatrix
Center-end-axis	0.07955130183193496	Aphrocallistes_beatrix
Center-whole	0.2552852428201672	Aphrocallistes_beatrix
End-whole	0.12861421986542962	Aphrocallistes_beatrix
Large-center	-0.09110834728927857	Aphrocallistes_beatrix
Center	-0.08929937454376675	Tetheella_fluctuosa
Center-end-axis	-0.1315872311397087	Tetheella_fluctuosa
Center-whole	0.25288278428227445	Tetheella_fluctuosa
End-whole	0.31868598866157577	Tetheella_fluctuosa
Large-center	-0.2780413010453372	Tetheella_fluctuosa
Center	0.295906037469053	Sycon_ciliatum
Center-end-axis	-0.026987515394354778	Sycon_ciliatum
Center-whole	0.2860545643188497	Sycon_ciliatum
End-whole	0.1837245880683217	Sycon_ciliatum
Large-center	-0.10402897833091611	Sycon_ciliatum
Center	0.0506380208670019	Arachnomyces_peruvianus
Center-end-axis	-0.011107258121605875	Arachnomyces_peruvianus
Center-whole	0.09305553717854666	Arachnomyces_peruvianus
End-whole	0.15265728015566218	Arachnomyces_peruvianus
Large-center	-0.09441668314987095	Arachnomyces_peruvianus
Center	0.16531709790155316	Schrankia_costaestrigalis
Center-end-axis	0.033910680882911846	Schrankia_costaestrigalis
Center-whole	0.1897341982165274	Schrankia_costaestrigalis
End-whole	0.18801029808108444	Schrankia_costaestrigalis
Large-center	-0.09024143564933396	Schrankia_costaestrigalis
Center	0.2809754378623732	Mastigias_papua
Center-end-axis	0.007686580960043969	Mastigias_papua
Center-whole	0.10613386864746269	Mastigias_papua
End-whole	-0.05908357836238859	Mastigias_papua
Large-center	0.1138494291215281	Mastigias_papua
Center	-0.04990695475191991	Limnephilus_rhombicus
Center-end-axis	-0.016983208399703006	Limnephilus_rhombicus
Center-whole	0.20191433405585887	Limnephilus_rhombicus
End-whole	0.21903274144974283	Limnephilus_rhombicus
Large-center	-0.2171861752256983	Limnephilus_rhombicus
Center	0.15087652179261143	Anopheles_arabiensis
